Name,Symbol
3M India Ltd,523395
Aarti Drugs Ltd.,524348
Aban Offshore Ltd,523204
ABB India Ltd,500002
ACC Ltd,500410
Adani Power Ltd,533096
Aditya Birla Nuvo Ltd,500303
Agro Tech Foods Ltd,500215
Akzo Nobel India Ltd,AKZOINDIA
Allahabad Bank,532480
ALSTOM India Ltd,532309
Ambica Agarbathies Aroma&Industries Ltd,532335
Castex Technologies Ltd,532282
Andhra Bank,532418
Apollo Hospitals Enterprise Limited,508869
Ashok Leyland Ltd,500477
Asian Hotels North Ltd,500023
Asian Paints Ltd,500820
Atlas Cycles (Haryana) Ltd,505029
Avt Natural Products Ltd,519105
Axis Bank Ltd,532215
Bajaj Auto Ltd,532977
Bajaj Hindusthan Sugar Ltd,500032
Balaji Telefilms Limited (Parent),532382
Bank of Baroda,532134
Bank of Maharashtra Ltd,532525
Bata India Ltd,500043
BEML Ltd.,500048
Berger Paints India Ltd,509480
Bharat Electronics Ltd,500049
Bharat Heavy Electricals Limited,500103
Bharat Petroleum Corp Ltd,500547
Biocon Ltd,532523
Birla Corporation Limited,500335
Blue Star Infotech Ltd.,532346
Bombay Dyeing and Manufacturing Company,BOMDYEING
Bombay Swadeshi Stores Ltd,531276
Bosch Ltd,500530
BPL Limited,500074
Cairn India Limited,532792
CCL Products (India) Limited,519600
Chemfab Alkalis Ltd,CHEMFALKAL
Chennai Meenakshi Multispeclty Hsptl Ltd,523489
Chennai Petroleum Corporation Limited,500110
Chettinad Cement Corporation Ltd.,590001
City Union Bank Limited,532210
Cni Research Ltd,512018
Colgate-Palmolive (India) Limited,500830
Consolidated Construction Consortium Ltd,532902
Corporation Bank,532179
Crompton Greaves Ltd (Parent),500093
Dhanlaxmi Bank Limited,532180
Dr Agarwals Eye Hospital Ltd,526783
Dr.Reddy's Laboratories Ltd,500124
Eicher Motors Ltd,505200
Emami Ltd,531162
Exide Industries Ltd,500086
Finolex Industries Limited,500940
Force Motors Ltd,500033
Fortis Malar Hospitals Ltd,523696
Gati Ltd,532345
Gillette India Limited,507815
Glenmark Pharmaceuticals Ltd,532296
Godrej Consumer Products Limited,532424
Godrej Industries Limited,500164
GOCL Corp Ltd,506480
GV Films Limited,523277
HCL Infosystems Limited,500179
HCL Technologies Ltd,532281
HDFC Bank Limited,500180
Hero Motocorp Ltd,500182
Himalya International Ltd.,526899
Hindustan Petroleum Corporation Limited,500104
Hindustan Unilever Ltd,500696
ICICI Bank Ltd,532174
IDBI Bank Ltd,500116
Idea Cellular Ltd,532822
India Cements Ltd,530005
Indiabulls Financial Services Limited,532544
Indiabulls Real Estate Ltd,532832
Indiabulls Ventures Ltd,532960
Indian Bank,532814
Indian Oil Corporation Limited,530965
