AppendTime,Index,LastTradePrice,LastTradeDateTimeLong,StockSymbol,ID
Fri Sep 23 00:53:08 2016,NASDAQ,816.53,"Sep 22, 3:22PM EDT",GOOGL,694653
Fri Sep 23 00:53:12 2016,NASDAQ,130.01,"Sep 22, 3:22PM EDT",FB,296878244325128
Fri Sep 23 00:53:16 2016,NSE,557.40,"Sep 22, 3:51PM GMT+5:30",TATAMOTORS,9708440
Fri Sep 23 00:53:20 2016,NSE,83.90,"Sep 22, 3:30PM GMT+5:30",ASHOKLEY,7147553
Fri Sep 23 00:53:24 2016,NSE,257.90,"Sep 22, 3:51PM GMT+5:30",SBIN,13564339
Fri Sep 23 00:53:28 2016,NYSE,6.22,"Sep 6, 4:00PM EDT",SLT,716436
Fri Sep 23 00:53:32 2016,NSE,13.34,"Sep 22, 3:30PM GMT+5:30",INDIAVIX,414888888444392
Fri Sep 23 00:53:36 2016,BOM,54.35,"Sep 22, 3:55PM GMT+5:30",500020,677167
Fri Sep 23 00:53:40 2016,NSE,411.40,"Sep 22, 3:49PM GMT+5:30",HINDPETRO,3563195
Fri Sep 23 00:53:43 2016,NYSE,0.0000,,HCC,657029
 , , , , , 
AppendTime,Index,LastTradePrice,LastTradeDateTimeLong,StockSymbol,ID
Fri Sep 23 00:54:08 2016,NASDAQ,816.08,"Sep 22, 3:23PM EDT",GOOGL,694653
Fri Sep 23 00:54:12 2016,NASDAQ,129.92,"Sep 22, 3:23PM EDT",FB,296878244325128
Fri Sep 23 00:54:16 2016,NSE,557.40,"Sep 22, 3:51PM GMT+5:30",TATAMOTORS,9708440
Fri Sep 23 00:54:21 2016,NSE,83.90,"Sep 22, 3:30PM GMT+5:30",ASHOKLEY,7147553
Fri Sep 23 00:54:24 2016,NSE,257.90,"Sep 22, 3:51PM GMT+5:30",SBIN,13564339
Fri Sep 23 00:54:34 2016,NYSE,6.22,"Sep 6, 4:00PM EDT",SLT,716436
Fri Sep 23 00:54:37 2016,NSE,13.34,"Sep 22, 3:30PM GMT+5:30",INDIAVIX,414888888444392
Fri Sep 23 00:54:41 2016,BOM,54.35,"Sep 22, 3:55PM GMT+5:30",500020,677167
Fri Sep 23 00:54:44 2016,NSE,411.40,"Sep 22, 3:49PM GMT+5:30",HINDPETRO,3563195
Fri Sep 23 00:54:48 2016,NYSE,0.0000,,HCC,657029
 , , , , , 
AppendTime,Index,LastTradePrice,LastTradeDateTimeLong,StockSymbol,ID
Fri Sep 23 00:55:08 2016,NASDAQ,816.26,"Sep 22, 3:24PM EDT",GOOGL,694653
Fri Sep 23 00:55:12 2016,NASDAQ,129.94,"Sep 22, 3:24PM EDT",FB,296878244325128
Fri Sep 23 00:55:14 2016,NSE,557.40,"Sep 22, 3:51PM GMT+5:30",TATAMOTORS,9708440
Fri Sep 23 00:55:19 2016,NSE,83.90,"Sep 22, 3:30PM GMT+5:30",ASHOKLEY,7147553
Fri Sep 23 00:55:23 2016,NSE,257.90,"Sep 22, 3:51PM GMT+5:30",SBIN,13564339
Fri Sep 23 00:55:28 2016,NYSE,6.22,"Sep 6, 4:00PM EDT",SLT,716436
Fri Sep 23 00:55:32 2016,NSE,13.34,"Sep 22, 3:30PM GMT+5:30",INDIAVIX,414888888444392
Fri Sep 23 00:55:36 2016,BOM,54.35,"Sep 22, 3:55PM GMT+5:30",500020,677167
Fri Sep 23 00:55:40 2016,NSE,411.40,"Sep 22, 3:49PM GMT+5:30",HINDPETRO,3563195
Fri Sep 23 00:55:44 2016,NYSE,0.0000,,HCC,657029
 , , , , , 
AppendTime,Index,LastTradePrice,LastTradeDateTimeLong,StockSymbol,ID
Fri Sep 23 00:56:09 2016,NASDAQ,816.49,"Sep 22, 3:25PM EDT",GOOGL,694653
Fri Sep 23 00:56:17 2016,NASDAQ,129.99,"Sep 22, 3:25PM EDT",FB,296878244325128
Fri Sep 23 00:56:22 2016,NSE,557.40,"Sep 22, 3:51PM GMT+5:30",TATAMOTORS,9708440
Fri Sep 23 00:56:27 2016,NSE,83.90,"Sep 22, 3:30PM GMT+5:30",ASHOKLEY,7147553
Fri Sep 23 00:56:38 2016,NSE,257.90,"Sep 22, 3:51PM GMT+5:30",SBIN,13564339
Fri Sep 23 00:56:42 2016,NYSE,6.22,"Sep 6, 4:00PM EDT",SLT,716436
Fri Sep 23 00:56:47 2016,NSE,13.34,"Sep 22, 3:30PM GMT+5:30",INDIAVIX,414888888444392
Fri Sep 23 00:56:52 2016,BOM,54.35,"Sep 22, 3:55PM GMT+5:30",500020,677167
Fri Sep 23 00:56:56 2016,NSE,411.40,"Sep 22, 3:49PM GMT+5:30",HINDPETRO,3563195
Fri Sep 23 00:57:00 2016,NYSE,0.0000,,HCC,657029
 , , , , , 
AppendTime,Index,LastTradePrice,LastTradeDateTimeLong,StockSymbol,ID
Fri Sep 23 00:57:09 2016,NASDAQ,816.65,"Sep 22, 3:26PM EDT",GOOGL,694653
Fri Sep 23 00:57:12 2016,NASDAQ,130.04,"Sep 22, 3:26PM EDT",FB,296878244325128
Fri Sep 23 00:57:17 2016,NSE,557.40,"Sep 22, 3:51PM GMT+5:30",TATAMOTORS,9708440
Fri Sep 23 00:57:20 2016,NSE,83.90,"Sep 22, 3:30PM GMT+5:30",ASHOKLEY,7147553
Fri Sep 23 00:57:26 2016,NSE,257.90,"Sep 22, 3:51PM GMT+5:30",SBIN,13564339
Fri Sep 23 00:57:30 2016,NYSE,6.22,"Sep 6, 4:00PM EDT",SLT,716436
Fri Sep 23 00:57:34 2016,NSE,13.34,"Sep 22, 3:30PM GMT+5:30",INDIAVIX,414888888444392
Fri Sep 23 00:57:39 2016,BOM,54.35,"Sep 22, 3:55PM GMT+5:30",500020,677167
Fri Sep 23 00:57:43 2016,NSE,411.40,"Sep 22, 3:49PM GMT+5:30",HINDPETRO,3563195
Fri Sep 23 00:57:47 2016,NYSE,0.0000,,HCC,657029
 , , , , , 
AppendTime,Index,LastTradePrice,LastTradeDateTimeLong,StockSymbol,ID
Fri Sep 23 00:58:09 2016,NASDAQ,816.80,"Sep 22, 3:27PM EDT",GOOGL,694653
Fri Sep 23 00:58:13 2016,NASDAQ,130.00,"Sep 22, 3:27PM EDT",FB,296878244325128
Fri Sep 23 00:58:17 2016,NSE,557.40,"Sep 22, 3:51PM GMT+5:30",TATAMOTORS,9708440
Fri Sep 23 00:58:23 2016,NSE,83.90,"Sep 22, 3:30PM GMT+5:30",ASHOKLEY,7147553
Fri Sep 23 00:58:28 2016,NSE,257.90,"Sep 22, 3:51PM GMT+5:30",SBIN,13564339
Fri Sep 23 00:58:32 2016,NYSE,6.22,"Sep 6, 4:00PM EDT",SLT,716436
Fri Sep 23 00:58:37 2016,NSE,13.34,"Sep 22, 3:30PM GMT+5:30",INDIAVIX,414888888444392
Fri Sep 23 00:58:41 2016,BOM,54.35,"Sep 22, 3:55PM GMT+5:30",500020,677167
Fri Sep 23 00:58:44 2016,NSE,411.40,"Sep 22, 3:49PM GMT+5:30",HINDPETRO,3563195
Fri Sep 23 00:58:48 2016,NYSE,0.0000,,HCC,657029
 , , , , , 
AppendTime,Index,LastTradePrice,LastTradeDateTimeLong,StockSymbol,ID
Fri Sep 23 00:59:09 2016,NASDAQ,816.64,"Sep 22, 3:28PM EDT",GOOGL,694653
Fri Sep 23 00:59:14 2016,NASDAQ,129.94,"Sep 22, 3:28PM EDT",FB,296878244325128
Fri Sep 23 00:59:18 2016,NSE,557.40,"Sep 22, 3:51PM GMT+5:30",TATAMOTORS,9708440
Fri Sep 23 00:59:21 2016,NSE,83.90,"Sep 22, 3:30PM GMT+5:30",ASHOKLEY,7147553
Fri Sep 23 00:59:25 2016,NSE,257.90,"Sep 22, 3:51PM GMT+5:30",SBIN,13564339
Fri Sep 23 00:59:29 2016,NYSE,6.22,"Sep 6, 4:00PM EDT",SLT,716436
Fri Sep 23 00:59:33 2016,NSE,13.34,"Sep 22, 3:30PM GMT+5:30",INDIAVIX,414888888444392
Fri Sep 23 00:59:37 2016,BOM,54.35,"Sep 22, 3:55PM GMT+5:30",500020,677167
Fri Sep 23 00:59:41 2016,NSE,411.40,"Sep 22, 3:49PM GMT+5:30",HINDPETRO,3563195
Fri Sep 23 00:59:44 2016,NYSE,0.0000,,HCC,657029
 , , , , , 
AppendTime,Index,LastTradePrice,LastTradeDateTimeLong,StockSymbol,ID
Fri Sep 23 01:00:10 2016,NASDAQ,816.31,"Sep 22, 3:29PM EDT",GOOGL,694653
Fri Sep 23 01:00:14 2016,NASDAQ,129.92,"Sep 22, 3:29PM EDT",FB,296878244325128
Fri Sep 23 01:00:19 2016,NSE,557.40,"Sep 22, 3:51PM GMT+5:30",TATAMOTORS,9708440
Fri Sep 23 01:00:23 2016,NSE,83.90,"Sep 22, 3:30PM GMT+5:30",ASHOKLEY,7147553
Fri Sep 23 01:00:32 2016,NSE,257.90,"Sep 22, 3:51PM GMT+5:30",SBIN,13564339
Fri Sep 23 01:00:36 2016,NYSE,6.22,"Sep 6, 4:00PM EDT",SLT,716436
Fri Sep 23 01:00:41 2016,NSE,13.34,"Sep 22, 3:30PM GMT+5:30",INDIAVIX,414888888444392
Fri Sep 23 01:00:45 2016,BOM,54.35,"Sep 22, 3:55PM GMT+5:30",500020,677167
Fri Sep 23 01:00:50 2016,NSE,411.40,"Sep 22, 3:49PM GMT+5:30",HINDPETRO,3563195
Fri Sep 23 01:00:53 2016,NYSE,0.0000,,HCC,657029
 , , , , , 
