,Company,StockSymbol,Fri Sep 23 10:42:00 2016,Fri Sep 23 10:42:13 2016,Fri Sep 23 10:42:28 2016
0,3M India Ltd,523395,"13,280.00","13,280.00","13,280.00"
1,Aarti Drugs Ltd.,524348,582.00,582.00,582.00
2,Aban Offshore Ltd,523204,211.05,210.80,210.85
3,ABB India Ltd,500002,"1,156.35","1,156.35","1,156.35"
4,ACC Ltd,500410,"1,637.70","1,637.70","1,637.70"
5,Adani Power Ltd,533096,27.95,27.95,27.95
6,Aditya Birla Nuvo Ltd,500303,"1,402.00","1,402.00","1,402.00"
7,Agro Tech Foods Ltd,500215,545.00,545.00,545.00
8,Akzo Nobel India Ltd,AKZOINDIA,"1,658.00","1,658.00","1,658.00"
9,Allahabad Bank,532480,81.35,81.35,81.35
10,ALSTOM India Ltd,532309,575.00,575.00,575.00
11,Ambica Agarbathies Aroma&Industries Ltd,532335,4.00,4.00,4.00
12,Castex Technologies Ltd,532282,10.75,10.75,10.66
13,Andhra Bank,532418,60.30,60.30,60.30
14,Apollo Hospitals Enterprise Limited,508869,"1,337.35","1,337.35","1,337.35"
15,Ashok Leyland Ltd,500477,83.35,83.35,83.25
16,Asian Hotels North Ltd,500023,100.00,100.00,100.00
17,Asian Paints Ltd,500820,"1,191.60","1,191.60","1,192.00"
18,Atlas Cycles (Haryana) Ltd,505029,254.40,254.40,254.40
19,Avt Natural Products Ltd,519105,29.95,29.85,29.80
20,Axis Bank Ltd,532215,566.20,566.00,565.70
21,Bajaj Auto Ltd,532977,"2,939.40","2,939.40","2,939.40"
22,Bajaj Hindusthan Sugar Ltd,500032,17.60,17.60,17.60
23,Balaji Telefilms Limited (Parent),532382,90.95,90.95,90.95
24,Bank of Baroda,532134,168.85,168.85,168.85
25,Bank of Maharashtra Ltd,532525,31.35,31.35,31.35
26,Bata India Ltd,500043,516.40,514.55,515.05
27,BEML Ltd.,500048,930.00,930.00,930.00
28,Berger Paints India Ltd,509480,262.95,262.95,262.95
29,Bharat Electronics Ltd,500049,"1,262.00","1,261.30","1,261.30"
30,Bharat Heavy Electricals Limited,500103,150.05,150.15,150.00
31,Bharat Petroleum Corp Ltd,500547,604.45,604.30,604.80
32,Biocon Ltd,532523,970.70,970.85,970.00
33,Birla Corporation Limited,500335,667.50,667.50,667.50
34,Blue Star Infotech Ltd.,532346,290.10,290.10,290.10
35,Bombay Dyeing and Manufacturing Company,BOMDYEING,55.75,55.75,55.75
36,Bombay Swadeshi Stores Ltd,531276,126.60,126.60,126.60
37,Bosch Ltd,500530,"23,289.80","23,289.80","23,289.80"
38,BPL Limited,500074,73.80,73.95,73.95
39,Cairn India Limited,532792,195.50,195.50,195.50
40,CCL Products (India) Limited,519600,266.20,266.20,266.20
41,Chemfab Alkalis Ltd,CHEMFALKAL,322.45,322.45,321.50
42,Chennai Meenakshi Multispeclty Hsptl Ltd,523489,14.00,14.00,14.00
43,Chennai Petroleum Corporation Limited,500110,304.00,304.00,303.75
44,Chettinad Cement Corporation Ltd.,590001,709.55,709.55,709.55
45,City Union Bank Limited,532210,130.00,130.00,130.00
46,Cni Research Ltd,512018,3.05,3.05,3.05
47,Colgate-Palmolive (India) Limited,500830,965.00,965.00,965.00
48,Consolidated Construction Consortium Ltd,532902,3.75,3.75,3.75
49,Corporation Bank,532179,44.30,44.30,44.30
50,Crompton Greaves Ltd (Parent),500093,81.30,81.45,81.45
51,Dhanlaxmi Bank Limited,532180,24.30,24.30,24.30
52,Dr Agarwals Eye Hospital Ltd,526783,181.00,181.00,181.00
53,Dr.Reddy's Laboratories Ltd,500124,"3,157.05","3,157.05","3,157.05"
54,Eicher Motors Ltd,505200,"24,607.90","24,607.90","24,607.90"
55,Emami Ltd,531162,"1,187.05","1,187.05","1,185.50"
56,Exide Industries Ltd,500086,194.30,194.30,194.30
57,Finolex Industries Limited,500940,466.75,466.75,466.75
58,Force Motors Ltd,500033,"3,146.00","3,145.20","3,145.20"
59,Fortis Malar Hospitals Ltd,523696,83.00,83.00,83.00
60,Gati Ltd,532345,140.40,140.25,140.25
61,Gillette India Limited,507815,"4,480.00","4,480.00","4,480.00"
62,Glenmark Pharmaceuticals Ltd,532296,939.00,939.00,939.00
63,Godrej Consumer Products Limited,532424,"1,590.90","1,590.90","1,589.70"
64,Godrej Industries Limited,500164,426.20,426.20,426.20
65,GOCL Corp Ltd,506480,306.50,306.50,306.50
66,GV Films Limited,523277,0.83,0.83,0.83
67,HCL Infosystems Limited,500179,46.15,46.15,46.15
68,HCL Technologies Ltd,532281,798.85,798.85,798.85
69,HDFC Bank Limited,500180,"1,313.30","1,312.35","1,313.00"
70,Hero Motocorp Ltd,500182,"3,537.95","3,538.15","3,538.15"
71,Himalya International Ltd.,526899,14.60,14.60,14.60
72,Hindustan Petroleum Corporation Limited,500104,418.85,419.00,418.60
73,Hindustan Unilever Ltd,500696,907.60,908.15,908.15
74,ICICI Bank Ltd,532174,273.10,273.10,273.10
75,IDBI Bank Ltd,500116,73.55,73.55,73.60
76,Idea Cellular Ltd,532822,83.25,83.25,83.25
77,India Cements Ltd,530005,151.20,151.20,151.20
78,Indiabulls Financial Services Limited,532544,272.30,272.30,272.30
79,Indiabulls Real Estate Ltd,532832,88.10,88.10,88.10
80,Indiabulls Ventures Ltd,532960,27.10,27.10,27.10
81,Indian Bank,532814,215.25,215.25,215.45
82,Indian Oil Corporation Limited,530965,584.25,584.30,584.30
83,Indian Overseas Bank,532388,27.10,27.10,27.10
84,Infosys Ltd,INFY,16.25,16.25,16.25
85,ING Vysya Bank Ltd,531807,"1,027.70","1,027.70","1,027.70"
86,Insecticides India Ltd.,532851,516.00,516.00,516.00
87,ITC Ltd,ITC,254.40,254.35,254.40
88,Jaiprakash Associates Limited,532532,11.40,11.40,11.38
89,Jet Airways (India) Limited,532617,543.30,543.30,543.30
90,Jindal Saw Limited,500378,53.50,53.50,53.50
91,Jindal Stainless Ltd,JSL,22.35,22.35,22.35
92,Jindal Steel & Power Limited,532286,81.70,81.70,81.50
93,JK Paper Ltd.,532162,63.00,63.00,63.00
